105年前十大違規路口,105年件數,106年前十大違規路口,106年件數,107年前十大違規路口,107年件數,108年前十大違規路口,108年件數,109年前十大違規路口,109年件數
市民大道與延吉街口,6162,市民大道與延吉街口,6510,市民大道與延吉街口,6450,基隆路與羅斯福路口,5628,基隆路與羅斯福路口,5564
南京東路與塔悠路口,3733,南京東路與塔悠路口,4229,八德路與基隆路口,4200,市民大道與延吉街口,4759,八德路與基隆路口,4145
基隆路與羅斯福路口,3561,延平路與州路口,2614,桂林路與環河南路口,3658,桂林路與環河南路口,4250,市民大道與延吉街口,3751
中山北路與忠誠路口,3255,基隆路與羅斯福路口,2558,基隆路與羅斯福路口,3615,八德路與基隆路口,2956,汀洲路與思源街口,2249
中華路與忠孝西路口,2670,中山北路與忠誠路口,2020,南京東路與塔悠路口,3317,中正路與文昌路口,2916,明水路與樂群一街口,2244
大業路與承德路口,2481,南京東路與建國北路口,2012,基河路與劍潭路口,2591,基河路與劍潭路口,2660,中華路與西藏路口,2057
長春路與新生北路口,1935,內江街與環河南路口,1949,中山北路與忠誠路口,2388,敬業三路與樂群一路口,2072,安康路與康寧路,1753
石牌路與東華街口,1910,大業路與承德路口,1930,長春路與新生北路口,2171,景興路與興隆路口,2037,林森北路與長安東路口,1721
館前路與襄陽路口,1851,三元街與和平西路口,1842,新湖三路與舊宗路口,2153,中山北路與忠誠路口,1966,師大路與羅斯福路口,1707
南京東路與建國北路口,1776,石牌路與東華街口,1630,林森北路與長安東路口,1921,安寧路與康寧路口,1894,中山北路與忠誠路口,1676
